Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N,Unit Price,Line Total
10,10,,,HW-C2-HW-971150581-A,971150581,,971150581,mouser,710-971150581,0.6000,6.00
8,8,,,HW-C2-HW-971250581-A,971250581,,971250581,mouser,710-971250581,1.1000,8.80
8,8,,,HW-C2-HW-971350581-A,971350581,,971350581,mouser,710-971350581,1.4800,11.84
8,8,,,HW-C2-HW-9774030592R-A,9774030592R,,9774030592R,mouser,710-9774030592R,1.5700,12.56
2,2,,,HW-C2-HW-ACT45B-101-2P-TL003-A,ACT45B-101-2P-TL003,,ACT45B-101-2P-TL003,mouser,810-ACT45B1012PTL003,1.5300,3.06
2,2,,,HW-C2-HW-AWHSH105D00G-A,AWHSH105D00G,,AWHSH105D00G,mouser,523-AWHSH105D00G,1.1100,2.22
5,5,,,HW-C2-HW-B2B-XH-AM_LF__SN_-A,B2B-XH-AM_LF__SN_,,B2B-XH-AM_LF__SN_,mouser,306-B2B-XH-AMLFSNP,0.1000,0.50
12,12,,,HW-C2-HW-B58031U9254M062-A,B58031U9254M062,,B58031U9254M062,mouser,871-B58031U9254M062,4.6500,55.80
15,15,,,HW-C2-HW-BAT54WS-7-F-A,BAT54WS-7-F,,BAT54WS-7-F,mouser,621-BAT54WS-F,0.1240,1.86
5,5,,,HW-C2-HW-BTS462TATMA1-A,BTS462TATMA1,,BTS462TATMA1,mouser,726-BTS462TATMA1,2.6600,13.30
3,3,,,HW-C2-HW-CM600DY-24T-A,CM600DY-24T (CM600DY-13T recommended for Chassis Size 2 200-450 V; 24T also compatible),,CM600DY-24T,mouser,CM600DY-24T,323.5000,970.50
3,3,,,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 200V Class,,DC Link Module Holder - 200V Class,sendcutsend,DC Link Module Holder - 200V Class,,
3,3,,,HW-C2-HW-DRDNB21D-7-A,DRDNB21D-7,,DRDNB21D-7,mouser,621-DRDNB21D-7,0.5600,1.68
1,1,,,HW-C2-HW-EC7BW-110S12-A,EC7BW-110S12,,EC7BW-110S12,mouser,418-EC7BW-110S12,48.8600,48.86
15,15,,,HW-C2-HW-FDFNYD1-110-5-A,FDFNYD1-110(5),,FDFNYD1-110(5),mouser,161-FDFNYD1-1105,0.4800,7.20
4,4,,,HW-C2-HW-LA37S600S05KM-A,LA37S600S05KM,,LA37S600S05KM,mouser,838-LA37S600S05KM,19.9600,79.84
1,1,,,HW-C2-HW-LT3080IQ-PBF-A,LT3080IQ#PBF,,LT3080IQ#PBF,mouser,584-LT3080IQ#PBF,8.5400,8.54
4,4,,,HW-C2-HW-LTST-C230CKT-A,LTST-C230CKT,,LTST-C230CKT,mouser,859-LTST-C230CKT,0.4100,1.64
4,4,,,HW-C2-HW-LTST-C230GKT-A,LTST-C230GKT,,LTST-C230GKT,mouser,859-LTST-C230GKT,0.3600,1.44
3,3,,,HW-C2-HW-MF-RHT200_32-2-A,MF-RHT200_32-2,,MF-RHT200_32-2,mouser,652-MF-RHT200/32-2,0.6100,1.83
6,6,,,HW-C2-HW-MGJ2D121509MPC-R7-A,MGJ2D121509MPC-R7,,MGJ2D121509MPC-R7,mouser,580-MGJ2D121509MPCR7,6.7700,40.62
6,6,,,HW-C2-HW-MKP1848S61010JY5B-A,MKP1848S61010JY5B,,MKP1848S61010JY5B,mouser,75-MKP1848S61010JY5B,7.5400,45.24
7,7,,,HW-C2-HW-MM3Z3V0ST1G-A,MM3Z3V0ST1G,,MM3Z3V0ST1G,mouser,863-MM3Z3V0ST1G,0.1700,1.19
3,3,,,HW-C2-HW-NXFT15XH103FEAB021-A,NXFT15XH103FEAB021,,NXFT15XH103FEAB021,mouser,81-NXFT15XH103FEAB21,0.3400,1.02
1,1,,,HW-C2-HW-RD7-12S033R-A,RD7-12S033R,,RD7-12S033R,mouser,737-RD7-12S033R,6.7700,6.77
3,3,,,HW-C2-HW-RKE-1205S_H-A,RKE-1205S_H,,RKE-1205S_H,mouser,919-RKE-1205S/H,5.1700,15.51
2,2,,,HW-C2-HW-RTS103C1R2M6L201-A,RTS103C1R2M6L201,,RTS103C1R2M6L201,mouser,527-RTS103C1R2M6L201,2.2700,4.54
4,4,,,HW-C2-HW-S3N-A,S3N,,S3N,mouser,512-S3N,0.6700,2.68
2,2,,,HW-C2-HW-SSW-103-01-L-D-A,SSW-103-01-L-D,,SSW-103-01-L-D,mouser,200-SSW10301LD,1.3400,2.68
1,1,,,HW-C2-HW-SSW-104-01-L-D-A,SSW-104-01-L-D,,SSW-104-01-L-D,mouser,200-SSW10401LD,1.6900,1.69
2,2,,,HW-C2-HW-SSW-108-01-L-D-A,SSW-108-01-L-D,,SSW-108-01-L-D,mouser,200-SSW10801LD,2.3500,4.70
3,3,,,HW-C2-HW-SSW-110-01-F-D-A,SSW-110-01-F-D,,SSW-110-01-F-D,mouser,,,
1,1,,,HW-C2-HW-STS41A-AWLB-R3-A,STS41A-AWLB-R3,,STS41A-AWLB-R3,mouser,403-STS41A-AWLB-R3,1.1300,1.13
8,8,,,HW-C2-HW-STTH112A-A,STTH112A,,STTH112A,mouser,511-STTH112A,0.5900,4.72
8,8,,,HW-C2-HW-SXH-001T-P0-6-A,SXH-001T-P0.6,,SXH-001T-P0.6,mouser,306-SXH-001T-P0.6,0.1000,0.80
6,6,,,HW-C2-HW-SZMMSZ4678T1G-A,SZMMSZ4678T1G,,SZMMSZ4678T1G,mouser,863-SZMMSZ4678T1G,0.4300,2.58
27,27,,,HW-C2-HW-TESTPOINT-TH-RED-A,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,TestPoint,mouser,534-5000,0.2930,7.91
3,3,,,HW-C2-HW-THERMAL-PAD-CUTTING-STEN-A,Thermal Pad Cutting Stencil,,Thermal Pad Cutting Stencil,sendcutsend,Thermal Pad Cutting Stencil,,
1,1,,,HW-C2-HW-TPS389006ADJRTER-A,TPS389006ADJRTER,,TPS389006ADJRTER,mouser,595-TPS389006ADJRTER,5.1000,5.10
4,4,,,HW-C2-HW-TS40-66-50-R-260-SMT-TR-A,TS40-66-50-R-260-SMT-TR,,TS40-66-50-R-260-SMT-TR,mouser,179-TS406650R260S,0.4800,1.92
2,2,,,HW-C2-HW-TSW-103-18-G-D-A,TSW-103-18-G-D,,TSW-103-18-G-D,mouser,200-TSW10318GD,1.0100,2.02
2,2,,,HW-C2-HW-TSW-108-18-F-D-A,TSW-108-18-F-D,,TSW-108-18-F-D,mouser,200-TSW10818FD,1.4500,2.90
1,1,,,HW-C2-HW-TSW-110-18-T-D-A,TSW-110-18-T-D,,TSW-110-18-T-D,mouser,200-TSW11018TD,1.5800,1.58
17,17,,,HW-C2-HW-UCM1H101MCL1GS-A,UCM1H101MCL1GS,,UCM1H101MCL1GS,mouser,647-UCM1H101MCL1GS,0.3250,5.53
60,60,,,HW-C2-HW-UCS2D331MHD-A,UCS2D331MHD,,UCS2D331MHD,mouser,647-UCS2D331MHD,2.1600,129.60
1,1,,,HW-C2-HW-UJ2-B-HR-G-V-A,UJ2-B-HR-G-V,,UJ2-B-HR-G-V,mouser,179-UJ2-B-HR-G-V,1.7000,1.70
23,23,,,HW-C2-HW-VY1222M47Y5UQ6TV0-A,VY1222M47Y5UQ6TV0,,VY1222M47Y5UQ6TV0,mouser,72-VY1222M47Y5UQ6TV0,0.2710,6.23
3,3,,,HW-C2-PCB-CTRL-A,ControlBoard,,ControlBoard,pcb,ControlBoard,,
3,3,,,HW-C2-PCB-DCBUSCAP-A,DCBusCapacitorBoard,,DCBusCapacitorBoard,pcb,DCBusCapacitorBoard,,
3,3,,,HW-C2-PCB-DCFLT-A,DCBusFilter,,DCBusFilter,pcb,DCBusFilter,,
3,3,,,HW-C2-PCB-GD-A,GateDriver,,GateDriver,pcb,GateDriver,,
3,3,,,HW-C2-PCB-IO-A,IOBoard,,IOBoard,pcb,IOBoard,,
1,1,,,HW-C2-PLT-BSP-A,HW-C2-BSP-A,,HW-C2-BSP-A,sendcutsend,HW-C2-BSP-A,207.5400,207.54
1,1,,,HW-C2-PLT-CHSP-A,HW-C2-CHSP-B,,HW-C2-CHSP-B,sendcutsend,HW-C2-CHSP-B,42.6400,42.64
34,34,,,HW-C2-RES-10K-A,10k 1210,CBPN-B3D5Z-10k,10k,mouser,603-AC1210JR-0710KL,0.0500,1.70
6,6,,,HW-C2-RES-120-A,120 1210,CBPN-K6UIE-120,120,mouser,603-AC1210FR-07120RL,0.1000,0.60
22,22,,,HW-C2-RES-1K-A,1k 1210,CBPN-F0NOB-1k,1k,mouser,603-RC1210FR-071KL,0.0490,1.08
15,15,,,HW-C2-RES-2R7-A,2.7 ohm 1210,CBPN-VEDNZ-27,2.7,mouser,667-ERJ-14BQF2R7U,0.2340,3.51
20,20,,,HW-C2-RES-20K-A,20k 1210 resistor,CBPN-ZYB6M-20k,20k,mouser,667-ERJ-P14F2002U,0.2450,4.90
3,3,,,HW-C2-RES-220-A,220 1210,CBPN-SZ7LV-220,220,mouser,603-RC1210FR-07220RL,0.1000,0.30
5,5,,,HW-C2-RES-3K-A,3k 1210 1%,,3k,mouser,603-RC1210FR-073KL,0.1000,0.50
5,5,,,HW-C2-RES-4K7-A,4.7k 1210,CBPN-5Z102-47k,4.7k,mouser,71-CRCW12104K70FKEAH,0.5900,2.95
3,3,,,HW-C2-RES-499K-A,499kohm 1210 resistor,CBPN-IPSO6-499k,499k,mouser,667-ERJ-P14F4993U,0.4400,1.32
4,4,,,HW-C2-RES-560-A,560ohm 1210 resistor,CBPN-HMOLG-560,560,mouser,667-ERJ-P14F5600U,0.4400,1.76
20,20,,,HW-C2-RES-250K-A,Thick Film Resistors - SMD 1/2watt 249Kohms 1%,CBPN-MZWIW-250k,250k,mouser,71-CRCW1210-249K-E3,0.0700,1.40
1,1,,,HW-C2-WH-TSBCM-A,CapacitorTempSenseHarness,,CapacitorTempSenseHarness,assembly,,,
4,4,,,HW-C2-WH-CS-A,CurrentSenseHarness,,CurrentSenseHarness,assembly,,,
1,1,,,HW-C2-WH-GDVS-A,GDVSHarness,,GDVSHarness,assembly,,,
2,2,,,HW-C2-WH-TSIGBT-A,TempSenseHarness,,TempSenseHarness,assembly,,,
